戸	31
弾	31
波	31
接	31
未	31
暴	31
勢	31
似	30
除	30
貧	30
暑	30
末	30
騒	30
悲	30
額	30
処	30
短	30
低	30
共	30
細	30
極	30
党	30
端	30
姉	29
修	29
規	29
留	29
境	29
勤	29
雑	29
泳	29
晴	29
周	29
御	29
怖	29
燃	29
帯	29
頂	29
装	29
居	29
属	29
弟	28
昼	28
謝	28
刻	28
号	28
型	28
介	28
亡	28
善	28
迷	28
暖	28
損	28
虫	28
象	28
混	28
皮	28
適	28
微	28
団	28
貸	27
床	27
杯	27
千	27
勇	27
芸	27
個	27
易	27
専	27
設	27
補	27
沈	27
弁	27
隊	27
裁	27
皆	26
再	26
響	26
賞	26
魔	26
雲	26
捨	26
甘	26
評	26
扱	26
骨	26
比	26
逆	26
囲	26
襲	26
巻	26
賛	25
箱	25
嘘	25
隣	25
障	25
述	25
吸	25
厳	25
被	25
隠	25
改	25
裏	25
移	25
刺	25
百	25
盛	25
詰	24
姿	24
復	24
迎	24
階	24
延	24
右	24
兵	24
汚	24
条	24
酔	24
悩	24
滅	24
疲	23
駄	23
準	23
慢	23
歴	23
誤	23
為	23
黙	23
練	23
営	23
屈	23
奴	23
貴	23
聴	23
鼻	23
劇	23
岸	23
雇	23
南	23
快	23
包	23
酸	23
照	23
研	22
将	22
因	22
査	22
氷	22
博	22
爆	22
節	22
銃	22
左	22
基	22
港	22
惑	22
免	22
羊	22
印	22
課	22
眼	22
並	22
毒	22
就	22
板	22
症	22
継	22
館	21
救	21
緒	21
簡	21
妹	21
史	21
敬	21
律	21
宙	21
筆	21
釣	21
企	21
八	21
触	21
恥	21
西	21
含	21
乱	21
踊	21
群	21
抗	21
洋	21
養	21
筋	21
及	21
圧	21
究	20
到	20
帽	20
滞	20
域	20
宇	20
司	20
胸	20
池	20
奇	20
描	20
穴	20
州	20
儀	20
腰	20
策	20
換	20
程	20
狂	20
罰	20
級	20
闘	20
替	20
昔	19
鍵	19
枚	19
招	19
則	19
嵐	19
卒	19
塩	19
区	19
益	19
尽	19
霊	19
攻	19
効	19
率	19
源	19
握	19
泊	19
底	19
避	19
災	19
模	19
跡	19
丸	19
灯	19
材	19
鹿	18
援	18
偉	18
典	18
郵	18
舎	18
環	18
致	18
否	18
飯	18
仲	18
城	18
怪	18
塗	18
宝	18
航	18
袋	18
停	18
順	18
札	18
貨	18
児	18
林	18
清	18
栄	18
踏	18
乾	18
射	18
談	17
尊	17
委	17
況	17
患	17
喫	17
導	17
菜	17
奏	17
志	17
協	17
廃	17
療	17
築	17
奪	17
庫	17
株	17
討	17
汗	17
刑	17
忠	17
承	17
衣	17
創	17
遂	17
整	17
午	16
丘	16
乏	16
貯	16
輸	16
展	16
棚	16
久	16
慎	16
渋	16
普	16
浴	16
怠	16
恵	16
納	16
超	16
井	16
各	16
駆	16
革	16
祭	16
迫	16
滑	16
陰	16
熟	16
遺	16
編	16
即	16
飾	16
悔	15
秋	15
傾	15
妙	15
紀	15
録	15
講	15
郎	15
香	15
闇	15
頑	15
鏡	15
輪	15
瓶	15
誘	15
舌	15
届	15
辛	15
層	15
揺	15
著	15
凍	15
締	15
祝	15
揮	15
仰	15
麦	15
添	15
占	15
遣	15
総	15
焦	15
懸	14
机	14
絡	14
械	14
傘	14
偶	14
齢	14
丈	14
奥	14
肩	14
更	14
叫	14
販	14
携	14
概	14
癖	14
令	14
洪	14
豊	14
訴	14
診	14
採	14
芝	14
腐	14
賃	14
胃	14
催	14
柄	14
担	14
祈	14
炎	14
召	14
埋	14
潔	14
幼	14
麻	14
審	14
堂	14
干	14
至	14
憎	14
荒	14
裂	14
樹	14
噂	13
趣	13
票	13
符	13
糖	13
飼	13
魅	13
贈	13
劣	13
賢	13
拠	13
臓	13
渉	13
券	13
覆	13
衝	13
預	13
聖	13
載	13
針	13
威	13
咲	13
漏	13
了	13
衛	13
脳	13
厚	13
房	13
磁	13
諸	13
噛	13
匹	13
浅	13
省	13
叔	12
鉛	12
看	12
皿	12
愚	12
季	12
輝	12
均	12
撮	12
伸	12
批	12
岩	12
永	12
熊	12
蔵	12
拍	12
玉	12
濃	12
黄	12
施	12
崩	12
炭	12
薄	12
液	12
執	12
粉	12
般	12
沸	12
繁	12
掘	12
略	12
砲	12
七	11
倍	11
紹	11
阪	11
耐	11
唯	11
駐	11
章	11
忍	11
距	11
緑	11
珍	11
拒	11
管	11
摘	11
旧	11
釈	11
雷	11
臭	11
範	11
瞬	11
巨	11
誉	11
献	11
武	11
純	11
仮	11
銭	11
系	11
獄	11
徳	11
硬	11
牧	11
藤	11
矢	11
推	11
縁	11
充	11
索	11
輩	11
励	11
稲	11
剤	11
蒸	11
幾	11
河	11
伴	11
煮	11
希	10
濯	10
椅	10
紳	10
績	10
歓	10
句	10
敢	10
眺	10
詳	10
宗	10
捜	10
億	10
睡	10
羽	10
複	10
標	10
飽	10
漫	10
脚	10
狭	10
請	10
濡	10
枝	10
畑	10
妊	10
翌	10
剣	10
抵	10
谷	10
陥	10
帳	10
操	10
湯	10
没	10
脅	10
蚊	10
湿	10
柔	10
缶	10
帆	10
拝	10
豪	10
袖	10
溶	10
貫	10
虚	10
称	10
甲	10
揚	10
尋	9
誌	9
翻	9
奮	9
六	9
紅	9
郷	9
鞄	9
版	9
勘	9
沢	9
双	9
冒	9
署	9
臣	9
抑	9
雄	9
稼	9
覧	9
丁	9
浜	9
蛇	9
融	9
菓	9
殴	9
穏	9
佐	9
磨	9
縄	9
測	9
項	9
糸	9
騰	9
蜂	9
譲	9
仏	9
尻	9
嘆	9
寺	9
偽	9
帝	9
叩	9
棄	9
露	9
削	9
綿	9
債	9
哀	9
脈	9
盲	9
泡	9
肥	9
如	9
偏	8
掃	8
嬉	8
慮	8
裕	8
貿	8
霧	8
誠	8
織	8
鮮	8
択	8
肌	8
飢	8
緊	8
需	8
依	8
秀	8
寂	8
吠	8
獲	8
昆	8
旨	8
叱	8
裸	8
鶏	8
徴	8
穀	8
封	8
網	8
溺	8
枯	8
顧	8
紛	8
尾	8
宣	8
粗	8
宮	8
稿	8
却	8
鍋	8
華	8
貰	8
陣	8
吐	8
掲	8
豆	8
序	8
彫	8
唱	8
烈	8
跳	8
堪	8
猛	8
排	8
縛	8
皇	8
銅	8
嗅	8
松	8
絞	8
浸	8
璧	7
誕	7
冊	7
呂	7
憶	7
汽	7
己	7
勧	7
訓	7
匂	7
涯	7
侮	7
辱	7
繰	7
購	7
徐	7
