は	13391
の	9467
た	9305
い	9193
を	6838
に	6798
し	6264
る	5300
な	5109
て	4981
が	4942
で	4925
っ	4594
す	4388
か	3960
だ	3495
と	3250
ま	3156
れ	3007
ら	2662
こ	2466
う	2438
り	2337
く	2213
あ	2128
そ	2013
ん	1954
も	1906
さ	1856
き	1824
よ	1620
け	1365
つ	1172
え	1106
ち	1011
お	990
め	932
せ	829
わ	805
ど	769
や	634
み	623
ろ	586
ば	571
べ	458
じ	432
ね	412
ず	357
げ	344
ほ	274
ご	262
ゃ	259
び	249
ょ	242
ぎ	232
へ	222
む	221
ぶ	191
ひ	189
ぐ	185
ふ	125
ぞ	101
ざ	99
ぼ	99
づ	94
ゆ	85
ぬ	78
ぜ	60
ぱ	56
ぽ	39
ぁ	25
ぴ	18
ゅ	14
ぷ	14
ぺ	9
ぇ	4
ゐ	3
